Date,open,high,low,close,volume,adjusted_close
1992-11-04,5.875,5.875,5.625,5.625,2300,3.926
1992-11-05,5.750,5.750,5.750,5.750,400,4.013
1992-11-06,5.625,5.625,5.500,5.500,3300,3.838
1992-11-09,5.500,5.625,5.500,5.625,2300,3.926
1992-11-10,5.750,5.750,5.000,5.125,19800,3.577
1992-11-11,5.250,5.500,5.125,5.250,9000,3.664
1992-11-12,5.375,5.500,5.250,5.250,8100,3.664
1992-11-13,5.250,5.250,5.250,5.250,2900,3.664
1992-11-16,5.375,5.375,5.375,5.375,5400,3.751
1992-11-17,5.500,5.625,5.250,5.625,2900,3.926
1992-11-18,5.500,5.500,5.500,5.500,700,3.838
1992-11-19,5.375,5.500,5.375,5.500,5200,3.838
1992-11-20,5.500,5.625,5.375,5.625,6000,3.926
1992-11-23,5.625,5.750,5.625,5.750,4900,4.013
1992-11-24,5.750,5.750,5.625,5.625,3000,3.926
1992-11-25,5.500,5.750,5.500,5.625,4700,3.926
1992-11-27,5.625,5.625,5.625,5.625,2000,3.926
1992-11-30,5.500,5.500,5.500,5.500,4900,3.838
1992-12-01,5.625,5.750,5.625,5.625,1200,3.926
1992-12-02,5.500,5.625,5.500,5.625,2100,3.926
1992-12-03,5.500,5.750,5.500,5.750,3800,4.013
1992-12-04,5.625,5.750,5.500,5.625,2300,3.926
1992-12-07,5.750,5.750,5.500,5.625,2200,3.926
1992-12-08,5.500,5.500,5.500,5.500,400,3.838
1992-12-09,5.375,5.500,5.375,5.500,3000,3.838
1992-12-10,5.375,5.375,5.250,5.250,5000,3.664
1992-12-11,5.375,5.375,5.250,5.250,2500,3.664
1992-12-14,5.125,5.125,5.125,5.125,2500,3.577
1992-12-15,5.000,5.000,5.000,5.000,8400,3.489
1992-12-16,4.875,5.125,4.875,5.000,3500,3.489
1992-12-17,5.125,5.125,5.000,5.000,1600,3.489
1992-12-18,5.125,5.125,5.125,5.125,100,3.577
1992-12-21,5.375,5.375,5.375,5.375,1800,3.751
1992-12-22,5.375,5.375,5.375,5.375,1100,3.751
1992-12-23,5.500,5.500,5.500,5.500,2500,3.838
1992-12-24,5.500,5.500,5.375,5.375,3300,3.751
1992-12-28,5.500,5.500,5.500,5.500,2000,3.838
1992-12-29,5.375,5.375,5.250,5.250,2100,3.664
1992-12-30,5.125,5.125,5.125,5.125,1700,3.577
1992-12-31,5.250,5.250,5.125,5.125,2400,3.577
1993-01-04,5.125,5.250,5.125,5.125,5600,3.577
1993-01-05,5.125,5.250,5.125,5.250,700,3.664
1993-01-06,5.125,5.375,5.125,5.250,4800,3.664
1993-01-07,5.250,5.375,5.250,5.375,800,3.751
1993-01-08,5.250,5.250,5.125,5.125,3400,3.577
1993-01-11,5.250,5.250,5.250,5.250,500,3.664
1993-01-12,5.250,5.250,5.250,5.250,100,3.664
1993-01-13,5.125,5.250,5.125,5.250,1400,3.664
1993-01-14,5.375,5.375,5.375,5.375,600,3.751
